danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genre,sub-genre
0.782,0.686,1,-4.383,1,0.0594,0.253,0.0,0.08,0.334,75.948,audio_features,7yt6eiZQCkVFEzwGp4Pbor,spotify:track:7yt6eiZQCkVFEzwGp4Pbor,https://api.spotify.com/v1/tracks/7yt6eiZQCkVFEzwGp4Pbor,https://api.spotify.com/v1/audio-analysis/7yt6eiZQCkVFEzwGp4Pbor,293138,4,53,rock,rock
0.47,0.941,2,-3.242,1,0.0381,1.93e-05,0.0,0.0556,0.696,106.974,audio_features,7GGJ7uPEFfjhfx2UD3ZNYX,spotify:track:7GGJ7uPEFfjhfx2UD3ZNYX,https://api.spotify.com/v1/tracks/7GGJ7uPEFfjhfx2UD3ZNYX,https://api.spotify.com/v1/audio-analysis/7GGJ7uPEFfjhfx2UD3ZNYX,138280,4,55,rock,rock
0.2,0.863,5,-3.424,1,0.0626,0.000651,0.0,0.339,0.468,93.977,audio_features,6FFwt1ea9hJ4MfMQLywahm,spotify:track:6FFwt1ea9hJ4MfMQLywahm,https://api.spotify.com/v1/tracks/6FFwt1ea9hJ4MfMQLywahm,https://api.spotify.com/v1/audio-analysis/6FFwt1ea9hJ4MfMQLywahm,184427,3,57,rock,rock
0.542,0.838,6,-5.198,1,0.0392,0.00216,2.05e-06,0.0829,0.423,106.044,audio_features,3EmNjy3zFszmAOCikiKxCd,spotify:track:3EmNjy3zFszmAOCikiKxCd,https://api.spotify.com/v1/tracks/3EmNjy3zFszmAOCikiKxCd,https://api.spotify.com/v1/audio-analysis/3EmNjy3zFszmAOCikiKxCd,221827,4,57,rock,rock
0.214,0.941,5,-2.983,0,0.0984,0.000441,0.0,0.0977,0.17,169.548,audio_features,1NoE1pEKbjVDmwLvrMsoop,spotify:track:1NoE1pEKbjVDmwLvrMsoop,https://api.spotify.com/v1/tracks/1NoE1pEKbjVDmwLvrMsoop,https://api.spotify.com/v1/audio-analysis/1NoE1pEKbjVDmwLvrMsoop,198360,4,57,rock,rock
0.31,0.94,6,-3.395,1,0.106,0.000106,2.21e-06,0.205,0.454,128.682,audio_features,76xddM2irVQCbuBoVbaElZ,spotify:track:76xddM2irVQCbuBoVbaElZ,https://api.spotify.com/v1/tracks/76xddM2irVQCbuBoVbaElZ,https://api.spotify.com/v1/audio-analysis/76xddM2irVQCbuBoVbaElZ,191373,5,62,rock,rock
0.424,0.936,10,-4.541,0,0.147,0.000249,0.0,0.0707,0.761,164.175,audio_features,6adhpSbrhat9S0WEVjf4HP,spotify:track:6adhpSbrhat9S0WEVjf4HP,https://api.spotify.com/v1/tracks/6adhpSbrhat9S0WEVjf4HP,https://api.spotify.com/v1/audio-analysis/6adhpSbrhat9S0WEVjf4HP,219933,4,54,rock,rock
0.492,0.59,5,-4.593,0,0.0239,0.225,2.79e-05,0.0973,0.124,91.018,audio_features,2DtPEKs3Pj7E06EoWW4vw8,spotify:track:2DtPEKs3Pj7E06EoWW4vw8,https://api.spotify.com/v1/tracks/2DtPEKs3Pj7E06EoWW4vw8,https://api.spotify.com/v1/audio-analysis/2DtPEKs3Pj7E06EoWW4vw8,262947,4,56,rock,rock
0.502,0.934,9,-3.899,1,0.0553,8.38e-06,0.164,0.0921,0.477,102.121,audio_features,45R6DmpsaoqLujIn6qPTPH,spotify:track:45R6DmpsaoqLujIn6qPTPH,https://api.spotify.com/v1/tracks/45R6DmpsaoqLujIn6qPTPH,https://api.spotify.com/v1/audio-analysis/45R6DmpsaoqLujIn6qPTPH,213000,4,61,rock,rock
0.393,0.433,5,-10.045,0,0.0255,0.39,8.41e-05,0.234,0.238,79.588,audio_features,3tAQNhm1o0kzldsI5QkrB1,spotify:track:3tAQNhm1o0kzldsI5QkrB1,https://api.spotify.com/v1/tracks/3tAQNhm1o0kzldsI5QkrB1,https://api.spotify.com/v1/audio-analysis/3tAQNhm1o0kzldsI5QkrB1,267307,4,35,rock,rock
