danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genre,sub-genre,0
0.654,0.873,4.0,-6.125,0.0,0.0338,0.0536,0.000991,0.36,0.415,124.006,audio_features,0rxEsBxxil046ZqipaCXle,spotify:track:0rxEsBxxil046ZqipaCXle,https://api.spotify.com/v1/tracks/0rxEsBxxil046ZqipaCXle,https://api.spotify.com/v1/audio-analysis/0rxEsBxxil046ZqipaCXle,154839.0,4.0,69,edm ,edm,
0.6,0.722,1.0,-4.865,0.0,0.0438,0.169,0.00017,0.288,0.388,96.957,audio_features,6C0H8ts9M6deezz0yYR6LK,spotify:track:6C0H8ts9M6deezz0yYR6LK,https://api.spotify.com/v1/tracks/6C0H8ts9M6deezz0yYR6LK,https://api.spotify.com/v1/audio-analysis/6C0H8ts9M6deezz0yYR6LK,267960.0,4.0,69,edm ,edm,
0.596,0.743,6.0,-4.149,1.0,0.0302,0.0696,2.37e-06,0.202,0.531,125.883,audio_features,3wfNiPBrzDwuanE75Ar6pS,spotify:track:3wfNiPBrzDwuanE75Ar6pS,https://api.spotify.com/v1/tracks/3wfNiPBrzDwuanE75Ar6pS,https://api.spotify.com/v1/audio-analysis/3wfNiPBrzDwuanE75Ar6pS,158807.0,4.0,67,edm ,edm,
0.539,0.955,4.0,-4.877,0.0,0.0755,0.00219,0.0286,0.205,0.158,127.863,audio_features,4HjLBWJ7AKZQcmupi1NSM5,spotify:track:4HjLBWJ7AKZQcmupi1NSM5,https://api.spotify.com/v1/tracks/4HjLBWJ7AKZQcmupi1NSM5,https://api.spotify.com/v1/audio-analysis/4HjLBWJ7AKZQcmupi1NSM5,170859.0,4.0,67,edm ,edm,
0.844,0.865,5.0,-3.73,0.0,0.0431,0.0196,0.00979,0.0978,0.679,126.008,audio_features,1rGd2CoMxEg2dnaytLY5ZG,spotify:track:1rGd2CoMxEg2dnaytLY5ZG,https://api.spotify.com/v1/tracks/1rGd2CoMxEg2dnaytLY5ZG,https://api.spotify.com/v1/audio-analysis/1rGd2CoMxEg2dnaytLY5ZG,121905.0,4.0,66,edm ,edm,
0.639,0.965,5.0,-5.21,1.0,0.0435,0.00632,0.148,0.364,0.408,127.027,audio_features,7nwEab6Y4LXbKUZDNofOag,spotify:track:7nwEab6Y4LXbKUZDNofOag,https://api.spotify.com/v1/tracks/7nwEab6Y4LXbKUZDNofOag,https://api.spotify.com/v1/audio-analysis/7nwEab6Y4LXbKUZDNofOag,172913.0,4.0,66,edm ,edm,
0.755,0.968,8.0,-5.282,1.0,0.0424,0.00117,0.773,0.103,0.785,126.007,audio_features,2ST4u9GusI2ddDfuMvXA5l,spotify:track:2ST4u9GusI2ddDfuMvXA5l,https://api.spotify.com/v1/tracks/2ST4u9GusI2ddDfuMvXA5l,https://api.spotify.com/v1/audio-analysis/2ST4u9GusI2ddDfuMvXA5l,194311.0,4.0,66,edm ,edm,
0.378,0.614,1.0,-3.809,0.0,0.0761,0.13,0.0,0.309,0.451,175.937,audio_features,1hf9Wu2l0XIgAcTZLSAUJe,spotify:track:1hf9Wu2l0XIgAcTZLSAUJe,https://api.spotify.com/v1/tracks/1hf9Wu2l0XIgAcTZLSAUJe,https://api.spotify.com/v1/audio-analysis/1hf9Wu2l0XIgAcTZLSAUJe,132955.0,4.0,67,edm ,edm,
0.621,0.756,5.0,-5.623,1.0,0.114,0.0752,1.17e-06,0.65,0.265,124.039,audio_features,7grzdNt3eQRiBC70GksRp1,spotify:track:7grzdNt3eQRiBC70GksRp1,https://api.spotify.com/v1/tracks/7grzdNt3eQRiBC70GksRp1,https://api.spotify.com/v1/audio-analysis/7grzdNt3eQRiBC70GksRp1,174194.0,4.0,67,edm ,edm,
0.588,0.78,11.0,-6.102,0.0,0.0432,0.0333,0.193,0.0728,0.201,127.085,audio_features,5aXTfpNOqLj35ydEiLio67,spotify:track:5aXTfpNOqLj35ydEiLio67,https://api.spotify.com/v1/tracks/5aXTfpNOqLj35ydEiLio67,https://api.spotify.com/v1/audio-analysis/5aXTfpNOqLj35ydEiLio67,221220.0,4.0,66,edm ,edm,
0.716,0.853,9.0,-3.254,0.0,0.03,0.00812,0.000268,0.154,0.593,124.014,audio_features,6p8uRRGziFLcA3QDvWxEPM,spotify:track:6p8uRRGziFLcA3QDvWxEPM,https://api.spotify.com/v1/tracks/6p8uRRGziFLcA3QDvWxEPM,https://api.spotify.com/v1/audio-analysis/6p8uRRGziFLcA3QDvWxEPM,178294.0,4.0,65,edm ,edm,
